"frequency_ghz","swept_channel","swept_commanded_phase_deg","directly_measured_error_deg","predicted_from_previous_sweep_deg","direct_minus_predicted_deg"
"3.5","2","270","4.912","2.413000000000011","2.498999999999989"
"3.5","2","292.5","3.093","1.1070000000000277","1.9859999999999722"
"3.5","2","315","-0.338","-1.7699999999999818","1.4319999999999817"
"3.5","2","337.5","-2.814","-3.6030000000000086","0.7890000000000086"
"3.8","1","0","-3.003","-4.060999999999979","1.0579999999999785"
"3.8","1","22.5","-7.063","-8.323999999999984","1.2609999999999841"
"3.8","1","45","-4.184","-5.584000000000003","1.400000000000003"
"3.8","1","67.5","-5.509","-7.003999999999991","1.4949999999999903"
"3.8","1","90","-1.747","-3.1539999999999964","1.4069999999999963"
"3.8","1","112.5","0.356","-0.9769999999999897","1.3329999999999895"
"3.8","1","135","-2.073","-3.228999999999985","1.155999999999985"
"3.8","1","157.5","-3.501","-4.311999999999983","0.8109999999999835"
"3.8","1","180","0.412","0","0.412"
"3.8","1","202.5","-3.518","-3.6939999999999884","0.1759999999999886"
"3.8","1","225","-0.496","-0.5849999999999795","0.08899999999997954"
"3.8","1","247.5","-2.341","-2.3929999999999723","0.05199999999997207"
"3.8","1","270","0.778","0.7379999999999995","0.04000000000000048"
"3.8","1","292.5","2.489","2.372000000000014","0.11699999999998578"
"3.8","1","315","0.344","-0.051999999999964075","0.39599999999996405"
"3.8","1","337.5","-0.578","-1.2420000000000186","0.6640000000000187"
"3.8","2","0","-4.124","-1.695999999999998","-2.4280000000000017"
"3.8","2","22.5","-7.566","-5.591000000000008","-1.9749999999999917"
"3.8","2","45","-4.354","-2.7379999999999995","-1.6160000000000005"
"3.8","2","67.5","-5.658","-4.554999999999993","-1.1030000000000078"
"3.8","2","90","-1.355","-0.7189999999999941","-0.6360000000000059"
"3.8","2","112.5","0.237","0.6540000000000106","-0.4170000000000106"
"3.8","2","135","-3.29","-2.8389999999999986","-0.4510000000000014"
"3.8","2","157.5","-5.185","-4.582999999999998","-0.6020000000000012"
"3.8","2","180","-1.104","0","-1.104"
"3.8","2","202.5","-5.222","-3.7419999999999902","-1.4800000000000102"
"3.8","2","225","-2.378","-0.48099999999999454","-1.8970000000000056"
"3.8","2","247.5","-4.49","-2.1639999999999873","-2.326000000000013"
"3.8","2","270","-1.204","1.5570000000000164","-2.761000000000016"
"3.8","2","292.5","0.379","3.365000000000009","-2.986000000000009"
"3.8","2","315","-2.14","0.8670000000000186","-3.0070000000000188"
"3.8","2","337.5","-2.727","0.24099999999998545","-2.9679999999999853"
